,Rates
AED,4.172391
AFN,119.27516
ALL,121.944682
AMD,549.559174
ANG,2.047393
AOA,625.826664
ARS,117.32209
AUD,1.581662
AWG,2.045278
AZN,1.935625
BAM,1.965519
BBD,2.293808
BDT,97.623508
BGN,1.9591
BHD,0.428255
BIF,2280.419461
BMD,1.13595
BND,1.543977
BOB,7.821659
BRL,6.40131
BSD,1.136
BTC,2.7032621e-05
BTN,84.414281
BWP,13.24831
BYN,2.940898
BYR,22264.618398
BZD,2.289889
CAD,1.435796
CDF,2279.851897
CHF,1.043398
CLF,0.0341
CLP,940.919126
CNY,7.244753
COP,4601.210582
CRC,729.536412
CUC,1.13595
CUP,30.102673
CVE,110.759543
CZK,24.43122
DJF,201.881467
DKK,7.437864
DOP,65.487959
DZD,158.456215
EGP,17.845891
ERN,17.039337
ETB,56.006734
EUR,1.0
FJD,2.431378
FKP,0.856937
GBP,0.835531
GEL,3.515811
GGP,0.856937
GHS,7.003177
GIP,0.856937
GMD,59.982533
GNF,10331.46491
GTQ,8.770235
GYD,237.681705
HKD,8.857513
HNL,27.808495
HRK,7.522833
HTG,113.578913
HUF,358.335842
IDR,16265.666879
ILS,3.538716
IMP,0.856937
INR,84.311684
IQD,1657.350931
IRR,47993.884446
ISK,146.201089
JEP,0.856937
JMD,175.446447
JOD,0.805433
JPY,131.327743
KES,128.646765
KGS,96.332871
KHR,4628.996315
KMF,492.438602
KPW,1022.354838
KRW,1360.504934
KWD,0.343796
KYD,0.946675
KZT,494.688678
LAK,12790.796476
LBP,1719.828573
LKR,230.469077
LRD,167.126676
LSL,17.857566
LTL,3.354165
LVL,0.687125
LYD,5.219734
MAD,10.54446
MDL,20.318062
MGA,4494.95422
MKD,61.92025
MMK,2019.835376
MNT,3246.981813
MOP,9.126691
MRO,405.533925
MUR,49.636332
MVR,17.550856
MWK,928.643305
MXN,23.138208
MYR,4.785801
MZN,72.508112
NAD,17.846202
NGN,469.386294
NIO,40.216858
NOK,10.034645
NPR,135.06285
NZD,1.676895
OMR,0.437326
PAB,1.136
PEN,4.492118
PGK,4.004267
PHP,58.257235
PKR,201.063524
PLN,4.544198
PYG,7900.246023
QAR,4.136037
RON,4.944908
RSD,117.610618
RUB,86.094558
RWF,1152.989167
SAR,4.264311
SBD,9.186891
SCR,15.770999
SDG,496.982267
SEK,10.279563
SGD,1.539444
SHP,1.564662
SLL,12870.312958
SOS,665.667037
SRD,24.159426
STD,23511.869834
SVC,9.940001
SYP,2854.065971
SZL,17.846193
THB,38.158266
TJS,12.831556
TMT,3.987184
TND,3.273244
TOP,2.595082
TRY,15.725186
TTD,7.711114
TWD,31.41913
TZS,2621.772792
UAH,31.235784
UGX,4027.253242
USD,1.13595
UYU,50.832591
UZS,12285.298746
VEF,242900423582.1759
VND,25774.703645
VUV,128.649342
WST,2.953664
XAF,659.192127
XAG,0.050904
XAU,0.000633
XCD,3.069962
XDR,0.812387
XOF,658.287069
XPF,120.274791
YER,283.987857
ZAR,17.70723
ZMK,10224.916486
ZMW,19.147994
ZWL,365.77541
